dtg,mac,rssi,ssid,oui,count
"2015-09-16 13:22:24.540099",0a:98:f4:db:c2:60,-75,<None>,"Admin OUI",
"2015-09-16 13:22:29.414677",18:f6:43:a4:49:47,-75,<None>,Apple,
"2015-09-16 13:22:33.711110",34:12:98:ef:fc:15,-79,<None>,Apple,
"2015-09-16 13:22:34.346995",18:f6:43:88:75:28,-77,<None>,Apple,
"2015-09-16 13:23:09.538236",0a:98:f4:db:c2:60,-73,<None>,"Admin OUI",
"2015-09-16 13:23:11.983987",74:5c:9f:17:ef:9a,-79,<None>,"TCT mobile ltd.",
"2015-09-16 13:23:40.839698",14:10:9f:d0:f8:eb,-49,<None>,Apple,
"2015-09-16 13:23:40.888951",14:10:9f:d0:f8:eb,-55,<None>,Apple,
"2015-09-16 13:23:44.091666",60:6c:66:2d:31:0b,-73,nyu,"Intel Corporate",
"2015-09-16 13:23:44.144262",60:6c:66:2d:31:0b,-75,nyu,"Intel Corporate",
"2015-09-16 13:23:46.033999",90:b6:86:80:37:28,-77,<None>,"Murata Manufacturing Co., Ltd.",
"2015-09-16 13:23:47.551045",34:fc:ef:d7:73:f4,-79,<None>,"LG Electronics",
"2015-09-16 13:23:54.539594",0a:98:f4:db:c2:60,-75,<None>,"Admin OUI",
"2015-09-16 13:23:58.889718",74:5c:9f:17:ef:9a,-75,<None>,"TCT mobile ltd.",
"2015-09-16 13:24:04.741052",90:3c:92:85:38:bd,-55,nyu,Apple,
"2015-09-16 13:24:11.992488",fc:c2:de:5b:f6:8e,-79,standalobe,"Murata Manufacturing Co., Ltd.",
"2015-09-16 13:24:12.050446",fc:c2:de:5b:f6:8e,-79,creative,"Murata Manufacturing Co., Ltd.",
"2015-09-16 13:24:12.539498",90:3c:92:85:38:bd,-61,nyu,Apple,
"2015-09-16 13:24:22.873523",f8:a9:d0:0b:8e:ea,-77,FRONTWIFI,"LG Electronics",
"2015-09-16 13:24:22.930387",f8:a9:d0:0b:8e:ea,-77,BWMEETINGRM,"LG Electronics",
"2015-09-16 13:24:23.348778",f8:a9:d0:0b:8e:ea,-75,Yunus-guest,"LG Electronics",
"2015-09-16 13:24:28.641284",fc:e9:98:44:c7:31,-73,ASA-College,Apple,
